source,target,number
"Garcia, A","Stringfield, O",2
"Gevaert, O","Kamaya, A",2
"Gevaert, O","Kothary, N",2
"Gevaert, O","Louie, J",2
"Gevaert, O","Shah, R",2
"Gevaert, O","Napel, S",3
"Giger, ML","Ji, Y",3
"Giger, ML","Morris, EA",3
"Gillies, RJ","Goldgof, D",2
"Gillies, RJ","Pollack, A",2
"Gillies, RJ","Moros, EG",4
"Gillies, RJ","Lambin, P",5
"Gillies, RJ","Schabath, MB",5
"Gilmore, H","Madabhushi, A",2
"Gilmore, H","Plecha, D",2
"Gilmore, H","Tiwari, P",2
"Gomez, D","Court, L",2
"Gomez, D","Jones, AK",2
"Gomez, D","Mackin, D",2
"Gomez, D","Stingo, F",2
"Götz, M","Bendszus, M",2
"Götz, M","Radbruch, A",2
"Götz, M","Wick, A",2
"Götz, M","Wick, W",2
"Götz, M","Bonekamp, D",3
"Götz, M","Maier-Hein, KH",3
"Götz, M","Schlemmer, HP",3
"Grkovski, M","Deasy, JO",2
"Grkovski, M","Lee, NY",2
"Grkovski, M","Oh, JH",2
"Grkovski, M","Schöder, H",2
"Grossmann, P","Hou, Y",2
"Grossmann, P","Mak, RH",2
"Grossmann, P","Oxnard, GG",2
"Grossmann, P","Quackenbush, J",2
"Grossmann, P","Rios Velazquez, E",2
"Grossmann, P","Rizvi, N",2
"Grossmann, P","Schwartz, LH",2
"Grossmann, P","Tan, Y",2
"Grossmann, P","Zhao, B",2
"Grossmann, P","Haibe-Kains, B",3
"Grossmann, P","Leijenaar, RT",3
"Grossmann, P","Rietbergen, MM",3
"Grossmann, P","Rietveld, D",3
"Grossmann, P","Leijenaar, RT",3
"Grossmann, P","Bussink, J",4
"Grossmann, P","Aerts, HJ",5
"Grossmann, P","Lambin, P",6
"Grossmann, P","Aerts, HJ",9
"Gu, D","Tian, J",2
"Gu, D","Dong, Y",3
"Gu, D","Huang, W",3
"Gu, D","Mo, X",3
"Gu, D","Ouyang, F",3
"Gu, D","Zhang, L",3
"Gu, D","Zhang, S",3
"Guckenberger, M","Tanadini-Lang, S",4
"Guerrero, T","Al-Hallaq, HA",2
"Guo, W","Zhu, Y",2
"Guo, Y","Zhang, Q",2
"Guo, Y","Wang, Y",3
"Guo, Y","Wang, Y",4
"Haberkorn, U","Flechsig, P",2
"Haberkorn, U","Giesel, FL",2
"Hadjiiski, L","Alva, A",2
"Hadjiiski, L","Caoili, EM",2
"Hadjiiski, L","Cha, KH",2
"Hadjiiski, L","Chan, HP",2
"Hadjiiski, L","Cohan, RH",2
"Hadjiiski, L","Paramagul, C",2
"Haibe-Kains, B","Gillies, RJ",2
"Haibe-Kains, B","Mak, RH",2
"Haibe-Kains, B","Rietbergen, MM",2
"Haibe-Kains, B","Rietveld, D",2
"Haibe-Kains, B","Aerts, HJ",5
"Haibe-Kains, B","Lambin, P",5
"Haider, MA","Khalvati, F",4
"Haider, MA","Wong, A",4
"Haie-Meder, C","Deutsch, E",2
"Haie-Meder, C","Robert, C",2
"Hassan, I","Zinn, PO",2
"Hatt, M","Visvikis, D",3
"Hatt, M","Visvikis, D",3
"He, L","Dong, D",2
"He, L","Liu, Z",2
"He, L","Ma, Z",2
"He, L","Ma, Z",3
"He, L","Liang, C",3
"He, L","Chen, X",4
"He, L","Tian, J",4
"He, L","Huang, Y",4
"He, L","Huang, Y",5
"He, L","Liu, Z",5
"He, L","Liang, C",8
"Hoadley, KA","Conzen, SD",2
"Hoadley, KA","Fan, C",2
"Hoadley, KA","Huang, E",2
"Hoadley, KA","Morris, EA",2
"Hoadley, KA","Net, JM",2
"Hoadley, KA","Sutton, EJ",2
"Hoadley, KA","Whitman, GJ",2
"Hoekstra, OS","Lambin, P",2
"Hoekstra, OS","Smit, EF",2
"Hoekstra, OS","Boellaard, R",3
"Hou, Y","Franco, I",2
"Hou, Y","Romano, J",2
"Hou, Y","Aerts, HJ",4
"Hou, Y","Mak, RH",4
"Hu, Y","Chang, C",2
