source,target,number
"Apte, A","Humm, JL",1
"Apte, A","Oh, JH",1
"Apte, A","Riaz, N",1
"Apte, A","Saleh, Z",1
"Apte, A","Schöder, H",1
"Apte, AP","Deasy, JO",2
"Apte, AP","Grkovski, M",1
"Apte, AP","Lee, NY",1
"Apte, AP","Oh, JH",1
"Apte, AP","Schmidtlein, CR",1
"Apte, AP","Schöder, H",1
"Apte, AP","Shukla-Dave, A",1
"Apte, AP","Thorstad, WL",1
"Apte, AP","Young, RJ",1
"Arana, E","Moratal, D",1
"Arana, E","Pérez-García, VM",1
"Armato, SG","Al-Hallaq, HA",2
"Armato, SG","Castillo, R",2
"Armato, SG","Guerrero, T",2
"Armato, SG","Pham, N",2
"Arneodo, A","Khalil, A",1
"Artzi, M","Ben Bashat, D",1
"Artzi, M","Blumenthal, DT",1
"Artzi, M","Bokstein, F",1
"Artzi, M","Haim, O",1
"Artzi, M","Kashanian, A",1
"Artzi, M","Liberman, G",1
"Artzi, M","Ram, Z",1
"Artzi, M","Shahar, T",1
"Ashab, HA","Abramowitz, MC",1
"Ashab, HA","Davicioni, E",1
"Ashab, HA","Erho, N",1
"Ashab, HA","Gillies, RJ",1
"Ashab, HA","Ishkanian, A",1
"Ashab, HA","Kryvenko, ON",1
"Ashab, HA","Parekh, DJ",1
"Ashab, HA","Punnen, S",1
"Aucoin, N","Aerts, HJWL",1
"Aucoin, N","Beets-Tan, RGH",1
"Aucoin, N","Fillion-Robin, JC",1
"Aucoin, N","Narayan, V",1
"Aucoin, N","Pieper, S",1
"Auer, DP","Arvanitis, TN",1
"Auer, DP","Clark, CA",1
"Auer, DP","Grundy, RG",1
"Auer, DP","Peet, AC",1
"Austin-Breneman, J","Allison, JP",1
"Austin-Breneman, J","Amaria, RN",1
"Austin-Breneman, J","Bernatchez, C",1
"Austin-Breneman, J","Carter, BW",1
"Austin-Breneman, J","Chin, L",1
"Austin-Breneman, J","Clise-Dwyer, K",1
"Austin-Breneman, J","Cogdill, AP",1
"Austin-Breneman, J","Cooper, ZA",1
"Austin-Breneman, J","Davies, MA",1
"Austin-Breneman, J","Diab, A",1
"Austin-Breneman, J","Futreal, PA",1
"Austin-Breneman, J","Gershenwald, JE",1
"Austin-Breneman, J","Glitza, IC",1
"Austin-Breneman, J","Grimm, EA",1
"Austin-Breneman, J","Hu, J",1
"Austin-Breneman, J","Hwu, P",1
"Austin-Breneman, J","Lazar, AJ",1
"Austin-Breneman, J","Lee, JE",1
"Austin-Breneman, J","Nezi, L",1
"Austin-Breneman, J","Patel, SP",1
"Austin-Breneman, J","Roszik, J",1
"Austin-Breneman, J","Sharma, P",1
"Austin-Breneman, J","Sloane, RS",1
"Austin-Breneman, J","Tawbi, H",1
"Austin-Breneman, J","Tetzlaff, MT",1
"Austin-Breneman, J","Wargo, JA",1
"Austin-Breneman, J","Wistuba, II",1
"Austin-Breneman, J","Woodman, SE",1
"Austin-Breneman, J","Zhang, J",1
"Avril, N","Madabhushi, A",1
"Azario, L","De Spirito, M",1
"Azario, L","Dekker, A",1
"Azario, L","Lambin, P",1
"Azario, L","Valentini, V",1
"Azario, L","Van Soest, J",1
"Bae, J","Lee, KS",1
"Bae, J","Shim, YM",1
"Bae, JM","Choi, JY",1
"Bae, JM","Jeong, JY",1
"Bae, JM","Kim, HS",1
"Bae, JM","Kwon, OJ",1
"Bae, JM","Lee, HY",1
"Bae, JM","Lee, KS",1
"Bae, JM","Shim, YM",1
"Bae, JM","Sohn, I",1
"Bae, JM","Son, JY",1
"Bagher-Ebadian, H","Chetty, IJ",1
"Bagher-Ebadian, H","Liu, C",1
"Bagher-Ebadian, H","Movsas, B",1
"Bagher-Ebadian, H","Siddiqui, F",1
"Bai, H","Chen, Y",1
"Bai, H","Li, ZC",1
"Bai, H","Liang, C",1
"Bai, H","Liu, L",1
"Bai, H","Sun, Q",1
"Bai, H","Wang, G",1
"Bai, H","Zhou, S",1
"Bai, HX","Liao, W",1
"Bai, HX","Oldridge, D",1
"Bai, HX","Su, C",1
"Bai, HX","Tang, H",1
"Bai, HX","Tao, Y",1
"Bai, HX","Xiao, B",1
"Bai, HX","Yang, L",1
"Bai, HX","Zhang, P",1
